,res,ind,com,rest
1393200,3514,1092,0,0
1396800,3514,1092,0,0
1400400,3188,1092,307,19
1404000,2902,1092,585,27
1407600,2419,1092,1059,36
1411200,1959,1092,1501,54
1414800,1568,1092,1871,75
1418400,1416,1092,2016,82
1422000,1366,1092,2064,84
1425600,1362,1092,2067,85
1429200,1350,1092,2079,85
1432800,1396,1092,2034,84
1436400,1482,1092,1952,80
1440000,1644,1092,1797,73
1443600,1986,1092,1467,61
1447200,2449,1092,1024,41
1450800,2875,1092,610,29
1454400,3187,1092,314,13
1458000,3514,1092,0,0
1461600,3514,1092,0,0
1465200,3514,1092,0,0
1468800,3514,1092,0,0
1472400,3514,1092,0,0
1476000,3514,1092,0,0
1479600,3514,1092,0,0
1483200,3514,1092,0,0
1486800,3188,1092,314,12
1490400,2902,1092,588,24
1494000,2419,1092,1056,39
1497600,1959,1092,1493,62
1501200,1568,1092,1873,73
1504800,1416,1092,2017,81
1508400,1366,1092,2065,83
1512000,1362,1092,2068,84
1515600,1350,1092,2080,84
1519200,1396,1092,2036,82
1522800,1482,1092,1955,77
1526400,1644,1092,1799,71
1530000,1986,1092,1468,60
1533600,2449,1092,1024,41
1537200,2875,1092,613,26
1540800,3187,1092,317,10
1544400,3514,1092,0,0
1548000,3514,1092,0,0
1551600,3514,1092,0,0
1555200,3514,1092,0,0
1558800,3514,1092,0,0
1562400,3514,1092,0,0
1566000,3514,1092,0,0
1569600,3514,1092,0,0
1573200,3188,1092,306,20
1576800,2902,1092,582,30
1580400,2419,1092,1046,49
1584000,1959,1092,1489,66
1587600,1568,1092,1869,77
1591200,1416,1092,2017,81
1594800,1366,1092,2065,83
1598400,1362,1092,2069,83
1602000,1350,1092,2081,83
1605600,1396,1092,2035,83
1609200,1482,1092,1952,80
1612800,1644,1092,1793,77
1616400,1986,1092,1460,68
1620000,2449,1092,1018,47
1623600,2875,1092,613,26
1627200,3187,1092,314,13
1630800,3514,1092,0,0
1634400,3514,1092,0,0
1638000,3514,1092,0,0
1641600,3514,1092,0,0
1645200,3514,1092,0,0
1648800,3514,1092,0,0
1652400,3514,1092,0,0
1656000,3514,1092,0,0
1659600,3188,1092,315,11
1663200,2902,1092,591,21
1666800,2419,1092,1052,43
1670400,1959,1092,1492,63
1674000,1568,1092,1868,78
1677600,1416,1092,2019,79
1681200,1366,1092,2068,80
1684800,1362,1092,2072,80
1688400,1350,1092,2082,82
1692000,1396,1092,2037,81
1695600,1482,1092,1955,77
1699200,1644,1092,1799,71
1702800,1986,1092,1469,59
1706400,2449,1092,1017,48
1710000,2875,1092,608,31
1713600,3187,1092,311,16
1717200,3514,1092,0,0
1720800,3514,1092,0,0
1724400,3514,1092,0,0
1728000,3514,1092,0,0
1731600,3514,1092,0,0
1735200,3514,1092,0,0
1738800,3514,1092,0,0
1742400,3514,1092,0,0
1746000,3188,1092,310,16
1749600,2902,1092,590,22
1753200,2419,1092,1058,37
1756800,1959,1092,1498,57
1760400,1568,1092,1874,72
1764000,1416,1092,2018,80
1767600,1366,1092,2066,82
1771200,1362,1092,2070,82
1774800,1350,1092,2082,82
1778400,1396,1092,2038,80
1782000,1482,1092,1957,75
1785600,1644,1092,1804,66
1789200,1986,1092,1473,55
1792800,2449,1092,1028,37
1796400,2875,1092,616,23
1800000,3187,1092,309,18
1803600,3514,1092,0,0
1807200,3514,1092,0,0
1810800,3514,1092,0,0
1814400,3514,1092,0,0
1818000,3514,1092,0,0
1821600,3514,1092,0,0
1825200,3514,1092,0,0
1828800,3514,1092,0,0
1832400,3188,1092,318,8
1836000,2902,1092,595,17
1839600,2419,1092,1064,31
1843200,1959,1092,1500,55
1846800,1568,1092,1875,71
1850400,1416,1092,2018,80
1854000,1366,1092,2066,82
1857600,1362,1092,2070,82
1861200,1350,1092,2081,83
1864800,1396,1092,2039,79
1868400,1482,1092,1955,77
1872000,1644,1092,1797,73
1875600,1986,1092,1472,56
1879200,2449,1092,1021,44
1882800,2875,1092,616,23
1886400,3187,1092,312,15
1890000,3514,1092,0,0
1893600,3514,1092,0,0
1897200,3514,1092,0,0
1900800,3514,1092,0,0
1904400,3514,1092,0,0
1908000,3514,1092,0,0
1911600,3514,1092,0,0
1915200,3514,1092,0,0
1918800,3188,1092,314,12
1922400,2902,1092,587,25
1926000,2419,1092,1052,43
1929600,1959,1092,1498,57
1933200,1568,1092,1875,71
1936800,1416,1092,2016,82
1940400,1366,1092,2064,84
1944000,1362,1092,2068,84
1947600,1350,1092,2079,85
1951200,1396,1092,2036,82
1954800,1482,1092,1952,80
1958400,1644,1092,1796,74
1962000,1986,1092,1470,58
1965600,2449,1092,1026,39
1969200,2875,1092,615,24
1972800,3187,1092,318,9
1976400,3514,1092,0,0
1980000,3514,1092,0,0
1983600,3514,1092,0,0
1987200,3514,1092,0,0
1990800,3514,1092,0,0
1994400,3514,1092,0,0
1998000,3514,1092,0,0
2001600,3514,1092,0,0
2005200,3188,1092,316,10
2008800,2902,1092,593,19
2012400,2419,1092,1056,39
2016000,1959,1092,1499,56
2019600,1568,1092,1871,75
2023200,1416,1092,2020,78
2026800,1366,1092,2069,79
2030400,1362,1092,2072,80
2034000,1350,1092,2084,80
2037600,1396,1092,2041,77
2041200,1482,1092,1958,74
2044800,1644,1092,1801,69
2048400,1986,1092,1470,58
2052000,2449,1092,1025,40
2055600,2875,1092,616,23
2059200,3187,1092,316,11
2062800,3514,1092,0,0
2066400,3514,1092,0,0
2070000,3514,1092,0,0
2073600,3514,1092,0,0
2077200,3514,1092,0,0
2080800,3514,1092,0,0
2084400,3514,1092,0,0
2088000,3514,1092,0,0
2091600,3188,1092,311,15
2095200,2902,1092,587,25
2098800,2419,1092,1051,44
2102400,1959,1092,1495,60
2106000,1568,1092,1871,75
2109600,1416,1092,2015,83
2113200,1366,1092,2064,84
2116800,1362,1092,2068,84
2120400,1350,1092,2079,85
2124000,1396,1092,2035,83
2127600,1482,1092,1951,81
2131200,1644,1092,1801,69
2134800,1986,1092,1478,50
2138400,2449,1092,1031,34
2142000,2875,1092,615,24
2145600,3187,1092,316,11
2149200,3514,1092,0,0
2152800,3514,1092,0,0
2156400,3514,1092,0,0
2160000,3514,1092,0,0
2163600,3514,1092,0,0
2167200,3514,1092,0,0
2170800,3514,1092,0,0
2174400,3514,1092,0,0
