,res,ind,com,rest
1263600,1493,1092,1942,79
1267200,1644,1092,1787,83
1270800,1966,1092,1460,88
1274400,2388,1092,1018,108
1278000,2795,1092,611,108
1281600,3114,1092,312,88
1285200,3455,1092,0,59
1288800,3485,1092,0,29
1292400,3504,1092,0,10
1296000,3514,1092,0,0
1299600,3514,1092,0,0
1303200,3514,1092,0,0
1306800,3485,1092,0,29
1310400,3475,1092,0,39
1314000,3163,1092,312,39
1317600,2875,1092,585,54
1321200,2409,1092,1046,59
1324800,1974,1092,1486,54
1328400,1605,1092,1860,49
1332000,1539,1092,1916,59
1335600,1353,1092,2053,108
1339200,1354,1092,2057,103
1342800,1358,1092,2068,88
1346400,1407,1092,2024,83
1350000,1493,1092,1942,79
1353600,1644,1092,1787,83
1357200,1966,1092,1460,88
1360800,2388,1092,1018,108
1364400,2795,1092,611,108
1368000,3114,1092,312,88
1371600,3455,1092,0,59
1375200,3485,1092,0,29
1378800,3504,1092,0,10
1382400,3514,1092,0,0
1386000,3514,1092,0,0
1389600,3514,1092,0,0
1393200,3485,1092,0,29
1396800,3475,1092,0,39
1400400,3163,1092,312,39
1404000,2875,1092,585,54
1407600,2409,1092,1046,59
1411200,1974,1092,1486,54
1414800,1605,1092,1860,49
1418400,1539,1092,1916,59
1422000,1353,1092,2053,108
1425600,1354,1092,2057,103
1429200,1358,1092,2068,88
1432800,1407,1092,2024,83
1436400,1493,1092,1942,79
1440000,1644,1092,1787,83
1443600,1966,1092,1460,88
1447200,2388,1092,1018,108
1450800,2795,1092,611,108
1454400,3114,1092,312,88
1458000,3455,1092,0,59
1461600,3485,1092,0,29
1465200,3504,1092,0,10
1468800,3514,1092,0,0
1472400,3514,1092,0,0
1476000,3514,1092,0,0
1479600,3485,1092,0,29
1483200,3475,1092,0,39
1486800,3163,1092,312,39
1490400,2875,1092,585,54
1494000,2409,1092,1046,59
1497600,1974,1092,1486,54
1501200,1605,1092,1860,49
1504800,1539,1092,1916,59
1508400,1353,1092,2053,108
1512000,1354,1092,2057,103
1515600,1358,1092,2068,88
1519200,1407,1092,2024,83
1522800,1493,1092,1942,79
1526400,1644,1092,1787,83
1530000,1966,1092,1460,88
1533600,2388,1092,1018,108
1537200,2795,1092,611,108
1540800,3114,1092,312,88
1544400,3455,1092,0,59
1548000,3485,1092,0,29
1551600,3504,1092,0,10
1555200,3514,1092,0,0
1558800,3514,1092,0,0
1562400,3514,1092,0,0
1566000,3485,1092,0,29
1569600,3475,1092,0,39
1573200,3163,1092,312,39
1576800,2875,1092,585,54
1580400,2409,1092,1046,59
1584000,1974,1092,1486,54
1587600,1605,1092,1860,49
1591200,1539,1092,1916,59
1594800,1353,1092,2053,108
1598400,1354,1092,2057,103
1602000,1358,1092,2068,88
1605600,1407,1092,2024,83
1609200,1493,1092,1942,79
1612800,1644,1092,1787,83
1616400,1966,1092,1460,88
1620000,2388,1092,1018,108
1623600,2795,1092,611,108
1627200,3114,1092,312,88
1630800,3455,1092,0,59
1634400,3485,1092,0,29
1638000,3504,1092,0,10
1641600,3514,1092,0,0
1645200,3514,1092,0,0
1648800,3514,1092,0,0
1652400,3485,1092,0,29
1656000,3475,1092,0,39
1659600,3163,1092,312,39
1663200,2875,1092,585,54
1666800,2409,1092,1046,59
1670400,1974,1092,1486,54
1674000,1605,1092,1860,49
1677600,1539,1092,1916,59
1681200,1353,1092,2053,108
1684800,1354,1092,2057,103
1688400,1358,1092,2068,88
1692000,1407,1092,2024,83
1695600,1493,1092,1942,79
1699200,1644,1092,1787,83
1702800,1966,1092,1460,88
1706400,2388,1092,1018,108
1710000,2795,1092,611,108
1713600,3114,1092,312,88
1717200,3455,1092,0,59
1720800,3485,1092,0,29
1724400,3504,1092,0,10
1728000,3514,1092,0,0
1731600,3514,1092,0,0
1735200,3514,1092,0,0
1738800,3485,1092,0,29
1742400,3475,1092,0,39
1746000,3163,1092,312,39
1749600,2875,1092,585,54
1753200,2409,1092,1046,59
1756800,1974,1092,1486,54
1760400,1605,1092,1860,49
1764000,1539,1092,1916,59
1767600,1353,1092,2053,108
1771200,1354,1092,2057,103
1774800,1358,1092,2068,88
