"","FinitePool_1","MediaExp_5","DemEdu","DemHealthcare","MediaExp_7","Longitude_3","Personal_7","MediaExp_3","Trustingroups_5","Personal_5","Ethnicmin","FinitePool_4","SARS","KnowledgeCert_2","Trustingroups_2","DemGen","COVIDexp","Longitude_2","quota_age","FinitePool_5","Trustingroups_4","Friends_7","Vaccine_2","COVIDeffect_4"
"4446","7","1","4","2","2","1","7","1","1","6","2","7","2","5","3","1","8","1","2","7","3","6","2","1"
"4447","4","1","4","2","1","1","3","1","1","3","2","7","2","3","2","1","8","2","3","7","3","2","1","1"
"4448","7","1","4","2","1","5","5","1","3","5","1","4","2","1","3","2","2","6","2","7","2","4","1","1"
"4449","3","1","4","2","1","1","4","1","1","4","2","4","2","3","2","1","8","1","2","7","3","4","1","1"
"4450","5","1","4","2","1","1","4","1","1","5","1","5","2","7","5","1","8","1","4","7","2","4","1","1"
"4451","5","1","4","2","1","1","5","1","2","4","1","2","1","7","3","1","8","2","1","5","1","4","1","4"
"4452","6","2","4","2","2","1","4","1","1","7","2","4","2","4","5","2","8","3","2","7","1","4","1","1"
"4454","3","1","4","2","1","2","1","1","2","6","1","4","2","3","4","2","8","3","4","6","2","1","1","2"
"4455","5","1","4","1","1","1","6","1","1","5","4","6","2","1","5","2","8","1","2","7","5","5","1","1"
"4456","6","1","4","2","1","1","3","1","1","3","2","7","2","3","2","1","8","1","3","7","2","3","1","1"
"4457","6","2","4","2","2","4","1","2","3","7","1","1","2","7","3","2","8","4","5","2","3","5","1","1"
"4458","5","1","4","2","1","1","4","1","1","7","2","5","2","4","3","2","8","4","2","6","3","4","1","2"
"4459","6","1","4","2","1","1","2","1","2","6","2","5","2","2","3","2","8","3","3","7","3","1","1","1"
"4460","7","2","1","2","1","2","6","1","1","7","2","7","2","5","4","1","8","1","2","7","3","6","1","1"
"4461","7","1","5","2","1","4","6","1","1","6","2","5","2","2","4","2","8","4","2","5","3","6","1","4"
"4462","4","1","3","2","1","5","3","1","4","3","1","4","1","4","3","1","9","3","2","2","3","5","2","4"
"4463","4","1","2","2","1","5","6","1","2","7","1","7","2","5","3","2","8","5","2","7","3","5","1","1"
"4464","6","2","4","2","1","1","4","2","3","6","4","5","2","5","4","2","3","2","1","3","2","2","1","1"
"4465","7","1","3","2","1","7","4","1","2","7","2","7","2","4","3","2","8","5","1","7","2","6","1","1"
"4466","7","2","3","2","1","1","3","1","2","5","1","2","2","3","4","2","8","1","4","5","4","2","1","1"
"4467","7","1","4","2","1","2","1","1","2","3","2","4","2","2","3","1","8","4","2","7","2","3","1","1"
"4468","7","1","5","2","1","1","5","1","2","7","1","7","1","1","3","2","9","2","3","7","4","7","1","2"
"4469","6","1","4","2","1","1","3","1","1","6","2","6","2","5","2","1","8","1","3","7","3","5","2","1"
"4470","7","1","4","2","1","1","3","2","3","6","1","5","2","1","4","2","3","1","2","3","3","4","1","1"
"4471","6","1","4","2","2","3","2","1","1","2","1","4","2","4","2","1","2","2","3","7","3","4","1","1"
"4472","7","2","4","2","1","1","2","1","1","2","2","6","2","6","4","1","8","1","3","6","4","2","1","1"
"4473","5","1","2","2","1","7","4","1","1","4","2","4","2","3","3","2","9","7","2","7","1","5","1","3"
"4474","7","1","3","2","1","1","1","1","1","4","2","4","2","4","3","2","8","1","1","7","3","2","1","1"
"4475","4","1","4","2","1","1","3","1","1","7","2","3","2","1","2","1","8","3","2","7","2","3","1","6"
