,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
9,Residential,Single Family Dwelling,,250 HOLDEN HILLS,1120.8,21159950201,"POLYGON ((-82.5697206661621 37.7929554617732, -82.5696552104189 37.7927731561596, -82.5697092647445 37.7927609341932, -82.569774721386 37.7929432398369, -82.5697206661621 37.7929554617732))"
10,Residential,Manufactured Home,,4364 RIVER FRONT ROAD,1153.749,21159950100,"POLYGON ((-82.3837969473909 37.813474452721, -82.3836988028528 37.8134689080001, -82.3837087876272 37.8133576778172, -82.3838069321653 37.813363223256, -82.3837969473909 37.813474452721))"
11,Residential,Unclassified,,244 JIM HARMON CIRCLE,4071.115,21159950300,"POLYGON ((-82.4195910169793 37.7809371872593, -82.4196938606046 37.7810569868628, -82.4194732532354 37.7811762857298, -82.4193704087118 37.7810564848997, -82.4195910169793 37.7809371872593))"
12,Residential,Manufactured Home,,249 KED FLETCHER ROAD,791.1462,21159950100,"POLYGON ((-82.4471539017728 37.7929145317307, -82.4472808921129 37.7928264949359, -82.4473178721599 37.7928600863198, -82.4471908818197 37.7929481230746, -82.4471539017728 37.7929145317307))"
13,Residential,Manufactured Home,,144 BIG BRANCH,5076.531,21159950100,"POLYGON ((-82.429893504817 37.8050645572457, -82.4301932016604 37.8051249038258, -82.4301447986363 37.805276222176, -82.4298451035895 37.8052158750098, -82.429893504817 37.8050645572457))"
14,Unclassified,Unclassified,,4100 NORTH WOLF CREEK,4483.151,21159950100,"POLYGON ((-82.4178320069568 37.8133902237323, -82.4179421619702 37.8133722993516, -82.4179110919395 37.8132521376888, -82.4180763235613 37.8132252500014, -82.4181271628165 37.8134218747274, -82.4178517770796 37.8134666902536, -82.4178320069568 37.8133902237323))"
15,Residential,Single Family Dwelling,,672 SOUTH WOLF CREEK,1977.885,21159950201,"POLYGON ((-82.4588858050602 37.7811521113045, -82.4587648370258 37.7810953951991, -82.4588505857112 37.7809801829102, -82.458971554644 37.781036896974, -82.4588858050602 37.7811521113045))"
16,Residential,Single Family Dwelling,,3090 LITTLE ROCKCASTLE ROAD,1054.873,21159950201,"POLYGON ((-82.4652848470871 37.7928222299932, -82.4653902320464 37.7928532842788, -82.465351099636 37.7929369127107, -82.4652457146767 37.7929058591701, -82.4652848470871 37.7928222299932))"
17,Residential,Unclassified,,,1582.292,21159950201,"POLYGON ((-82.5700203549206 37.7927843317644, -82.5700852842511 37.792741656037, -82.5702286957946 37.7928790549388, -82.5701637655659 37.7929217320067, -82.5700203549206 37.7927843317644))"
18,Residential,Manufactured Home,,3043 NORTH WOLF CREEK,1120.799,21159950100,"POLYGON ((-82.4258316393092 37.8051499008264, -82.4258645751408 37.8051137528002, -82.4260582016104 37.8052248151235, -82.4260252657788 37.8052609630954, -82.4258316393092 37.8051499008264))"
19,Residential,Single Family Dwelling,,628 SANDLICK ROAD,1846.009,21159950202,"POLYGON ((-82.5893571097392 37.7810189207221, -82.5892684280544 37.7811582619425, -82.5891681068984 37.781118041745, -82.5892567876849 37.7809787018689, -82.5893571097392 37.7810189207221))"
20,Residential,Single Family Dwelling,,244 HOLDEN HILLS,1054.866,21159950201,"POLYGON ((-82.5699400051101 37.7928852748787, -82.5698704817953 37.7927156098962, -82.5699239342496 37.7927018169592, -82.5699934557678 37.7928714826832, -82.5699400051101 37.7928852748787))"
21,Residential,Manufactured Home,,9173 MEATHOUSE ROAD,1384.508,21159950300,"POLYGON ((-82.5023794148989 37.7045927497882, -82.5022134825912 37.7046763628844, -82.5021683799774 37.7046198617776, -82.5023343140818 37.7045362493284, -82.5023794148989 37.7045927497882))"
