,res,ind,com,rest
1198800,3530,1025,0,51
1202400,3535,1050,0,21
1206000,3554,1050,0,2
1209600,3556,1050,0,0
1213200,3556,1050,0,0
1216800,3556,1050,0,0
1220400,3529,1050,0,27
1224000,3521,1050,0,35
1227600,3217,1050,304,35
1231200,2948,1042,567,49
1234800,2509,1042,1001,54
1238400,2098,1042,1417,49
1242000,1761,1042,1759,44
1245600,1702,1042,1810,52
1249200,1536,1042,1933,95
1252800,1538,1042,1936,90
1256400,1544,1042,1945,75
1260000,1644,991,1901,70
1263600,1730,991,1819,66
1267200,1881,991,1664,70
1270800,2203,991,1337,75
1274400,2627,991,895,93
1278000,3034,991,488,93
1281600,3353,991,189,73
1285200,3571,991,0,44
1288800,3539,1053,0,14
1292400,3553,1053,0,0
1296000,3553,1053,0,0
1299600,3553,1053,0,0
1303200,3553,1053,0,0
1306800,3528,1053,0,25
1310400,3518,1053,0,35
1314000,3226,1053,292,35
1317600,2976,1032,548,50
1321200,2540,1032,982,52
1324800,2142,1032,1385,47
1328400,1812,1032,1720,42
1332000,1753,1032,1771,50
1335600,1590,1032,1892,92
1339200,1591,1032,1896,87
1342800,1596,1032,1906,72
1346400,1680,997,1862,67
1350000,1766,997,1780,63
1353600,1917,997,1625,67
1357200,2240,997,1298,71
1360800,2664,997,856,89
1364400,3071,997,449,89
1368000,3390,997,150,69
1371600,3569,997,0,40
1375200,3566,1030,0,10
1378800,3576,1030,0,0
1382400,3576,1030,0,0
1386000,3576,1030,0,0
1389600,3576,1030,0,0
1393200,3549,1030,0,27
1396800,3542,1030,0,34
1400400,3255,1030,287,34
1404000,2989,1028,541,48
1407600,2572,1028,954,52
1411200,2184,1028,1347,47
1414800,1850,1028,1686,42
1418400,1787,1028,1740,51
1422000,1635,1028,1853,90
1425600,1639,1028,1854,85
1429200,1643,1028,1865,70
1432800,1737,983,1821,65
1436400,1823,983,1739,61
1440000,1975,983,1584,64
1443600,2297,983,1257,69
1447200,2721,983,815,87
1450800,3128,983,408,87
1454400,3447,983,109,67
1458000,3585,983,0,38
1461600,3571,1027,0,8
1465200,3579,1027,0,0
1468800,3579,1027,0,0
1472400,3579,1027,0,0
1476000,3579,1027,0,0
1479600,3552,1027,0,27
1483200,3542,1027,0,37
1486800,3256,1027,286,37
1490400,3026,992,537,51
1494000,2607,992,951,56
1497600,2225,992,1338,51
1501200,1903,992,1665,46
1504800,1846,992,1713,55
1508400,1687,992,1830,97
1512000,1689,992,1833,92
1515600,1696,992,1841,77
1519200,1784,953,1797,72
1522800,1870,953,1715,68
1526400,2021,953,1560,72
1530000,2345,953,1233,75
1533600,2768,953,791,94
1537200,3175,953,384,94
1540800,3494,953,85,74
1544400,3608,953,0,45
1548000,3583,1008,0,15
1551600,3598,1008,0,0
1555200,3598,1008,0,0
1558800,3598,1008,0,0
1562400,3598,1008,0,0
1566000,3573,1008,0,25
1569600,3566,1008,0,32
1573200,3287,1008,279,32
1576800,3066,974,520,46
1580400,2667,974,914,51
1584000,2288,974,1298,46
1587600,1981,974,1610,41
1591200,1934,974,1652,46
1594800,1790,974,1758,84
1598400,1793,974,1760,79
1602000,1799,974,1769,64
1605600,1916,906,1725,59
1609200,2002,906,1643,55
1612800,2154,906,1488,58
1616400,2476,906,1161,63
1620000,2902,906,719,79
1623600,3309,906,312,79
