,parusedesc,parusedsc2,geometry,type,properties,bg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len
2404,RESIDENTIAL,RANCH|MISCELLANEOUS BUILDN,"POLYGON ((-78.36250440748476 34.993559044951304, -78.36258860826455 34.99357340018274, -78.36277034740442 34.99360424267639, -78.36291289160701 34.993630069251786, -78.3629669992398 34.993435519083775, -78.36304173872179 34.99316430983732, -78.36291260052988 34.99313220037647, -78.36264349441453 34.99306517421632, -78.36250440748476 34.993559044951304))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2416,RESIDENTIAL,,"POLYGON ((-78.36020607842542 34.997209099419315, -78.36033952742072 34.9974377887555, -78.36035552058718 34.99742095764588, -78.36044390667284 34.99732757108294, -78.36064055460876 34.99730835836314, -78.3603291490102 34.99677971883298, -78.36032379744411 34.996781238346635, -78.36030539221147 34.99678629287293, -78.36028698765426 34.9967912608552, -78.36026858442915 34.996796058456525, -78.36025018187966 34.9968007695138, -78.3602317800058 34.99680539402699, -78.36021337946427 34.996809848159295, -78.36019497959856 34.99681421574756, -78.36000427510605 34.996861376292294, -78.36020607842542 34.997209099419315))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2420,RESIDENTIAL,CONVENTIONAL,"POLYGON ((-78.35876562120826 34.994708621156335, -78.35891025456996 34.99497379799372, -78.35915155416215 34.994885828920616, -78.3590040396486 34.994616238601566, -78.35877144661414 34.994706595779704, -78.35876562120826 34.994708621156335))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2422,EXEMPT,CANOPY,"POLYGON ((-78.3591593970633 34.992516831641574, -78.35911913776623 34.99253166665054, -78.35920841537514 34.99264590328835, -78.35924152028649 34.99271637973172, -78.35924157305092 34.9927164963067, -78.35926837376543 34.99278889282548, -78.35928863835419 34.99286260868847, -78.35928866494842 34.992862709798786, -78.35930234671531 34.99293755093686, -78.35930932886312 34.99301290280425, -78.35930933675704 34.99301301373182, -78.35930960753605 34.9930886959655, -78.35930316208835 34.99316406846824, -78.35930314906982 34.99316419190589, -78.359290002855 34.99323909699478, -78.35931476263427 34.99323791229767, -78.3596123085896 34.9930843271979, -78.35945773907879 34.992889013135475, -78.35926845352037 34.99264980750448, -78.359255598634 34.99263310547683, -78.3591593970633 34.992516831641574))",com,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2424,RESIDENTIAL,RANCH|UNFINISHED FRAME GARAGE|OPEN PORCH,"POLYGON ((-78.3681517325642 34.99483881343295, -78.36883100446698 34.99498055444979, -78.36919677600905 34.99420644104743, -78.36907216411069 34.99417896137022, -78.36886772883801 34.9941319871374, -78.36866390224864 34.994083254194564, -78.36852657335605 34.99404977727146, -78.3681517325642 34.99483881343295))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2426,RESIDENTIAL,CONVENTIONAL|STORAGE,"POLYGON ((-78.36584587466068 34.993897291597605, -78.36599693233798 34.993901949479195, -78.36608956765714 34.99390509846639, -78.36659113212828 34.99392250255004, -78.36660927348586 34.99362468343293, -78.366582500819 34.993609538143794, -78.3664796558664 34.99356075022444, -78.36644645844464 34.9935450023113, -78.36637428643645 34.993510765275424, -78.36602041485635 34.99342449412351, -78.36584587466068 34.993897291597605))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2429,RESIDENTIAL,RANCH|STORAGE|FENCE,"POLYGON ((-78.36408170361669 34.993505887300806, -78.36409833747825 34.99351378926648, -78.36445682385344 34.993680890813245, -78.36457458485309 34.993351430928406, -78.36467254828844 34.993081555559606, -78.3642715661911 34.99298379201338, -78.36408170361669 34.993505887300806))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2432,RESIDENTIAL,,"POLYGON ((-78.36171200737974 34.992837161583104, -78.36176949354662 34.99285154912265, -78.36211109063284 34.992935617779516, -78.36226910835398 34.99249555314787, -78.3620391463541 34.992439480351834, -78.36197150094432 34.99242298646881, -78.3618703395771 34.99239832066852, -78.36171200737974 34.992837161583104))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
2433,COMMERCIAL,CLUB HOUSE|MISCELLANEOUS BUILDN|SHOP|10FT CHAIN LINK FENCE|IMPLEMENT SHED|TENNIS COURT|FENCE|METAL BUILDING,"POLYGON ((-78.36459838940962 35.00467964601418, -78.36469883254556 35.00467658246081, -78.36462062696526 35.00401564924165, -78.3650561466874 35.00378205083187, -78.36524474942593 35.00379231799642, -78.36550589183389 35.0038145958393, -78.36573282720919 35.003833954503484, -78.36619349346584 35.003427468601416, -78.36676724559725 35.00307919174125, -78.36718542061006 35.0028758159627, -78.36729503867102 35.00273565197928, -78.36862242803615 35.00209352396351, -78.36968161143366 35.001585138088224, -78.3697926060332 35.001531890716585, -78.37319551447051 34.995347789403915, -78.37296687161594 34.99535063901998, -78.3728093141718 34.995353870430385, -78.37263712966796 34.99533879706976, -78.37240692764547 34.99531900515107, -78.37192442323902 34.9951943134328, -78.37179699340598 34.995151597241346, -78.37092386026339 34.995352967002006, -78.37089593523487 34.99534915133468, -78.36994474686335 34.99517898117796, -78.36883100446698 34.99498055444979, -78.3681517325642 34.99483881343295, -78.36813457820325 34.99483523384071, -78.36785260306749 34.99472319913168, -78.36767799685929 34.994442980427166, -78.36790349108355 34.993897887655905, -78.36702584975065 34.993683936426805, -78.36685107458773 34.99382193178928, -78.36679234403425 34.993917426846934, -78.36676643225061 34.994353539892955, -78.36671046191945 34.99543553692128, -78.36665204032394 34.99661815995847, -78.3666228209547 34.99715666236637, -78.36661847188434 34.997286902092945, -78.36661745468402 34.997310425220896, -78.36661638090041 34.997341245762485, -78.36661702392927 34.997365979317934, -78.36661933717092 34.997390635999245, -78.36662332129093 34.99741513016646, -78.3666289769688 34.99743937437682, -78.36663630419199 34.997463370432826, -78.36664530429685 34.99748694615324, -78.36665597729176 34.997510100636156, -78.36666832383492 34.99753274914272, -78.36668150982256 34.99755480074883, -78.36669637069511 34.99757617419666, -78.36671290645357 34.99759686948563, -78.3667311184336 34.99761671443389, -78.36675017185209 34.997635705560334, -78.36677090148602 34.99765384724624, -78.36679247390046 34.997670962026596, -78.36681488908106 34.99768705170392, -78.36683898181893 34.997702118856026, -78.3672641249351 34.99799664733473, -78.36762064983951 34.9982319857886, -78.36764940564284 34.99820628757563, -78.36815505461837 34.99854493995686, -78.36848299610764 34.998231801763, -78.3686765776349 34.99830800437209, -78.36880482491198 34.99855075835704, -78.36884197418779 34.99861203891846, -78.36853444792892 34.99896223866374, -78.36802997307856 34.9986729381116, -78.36783456753172 34.99885759074722, -78.36713829482976 34.998798563187215, -78.36717553061335 34.9985422226144, -78.36718488736689 34.9984564408936, -78.36731277580566 34.998534651308006, -78.36749371111033 34.998359681568644, -78.36713708121712 34.998124011338994, -78.36670944287614 34.99782826760739, -78.3666886759319 34.99781493436125, -78.36665712676934 34.99779252942116, -78.36662808529245 34.99776970761916, -78.36659658011763 34.99774163420909, -78.36657246589616 34.998267626083184, -78.36656028020752 34.998538993642704, -78.36655934782226 34.99855976941569, -78.36635903644857 34.99855390881287, -78.36635089303816 34.998742605826635, -78.3663524194143 34.99876107493159, -78.366347426861 34.99886658197795, -78.3659321682962 34.999234494524664, -78.36601413746389 34.99942950417027, -78.36619248441359 34.99989937073923, -78.366226029669 34.999987390837596, -78.36626939142973 35.00010139527874, -78.36629065928688 35.00015783683887, -78.366463306712 35.00060964105468, -78.36650427725634 35.00070912036574, -78.36664696181285 35.00125693982986, -78.36682536529808 35.00193589601416, -78.36684239001944 35.002001332077214, -78.36625136948895 35.00210144248864, -78.36592950498314 35.002158743256444, -78.36582335247677 35.00217492990808, -78.3658349040045 35.002192507833534, -78.36576968668663 35.00220504574543, -78.36551801870651 35.00225343700773, -78.36525631713872 35.002303756471534, -78.3651383962524 35.00233009919849, -78.36489681348775 35.00236978679253, -78.3646502077488 35.002411079181, -78.36438771510538 35.002455636469726, -78.36408258343862 35.00250786835965, -78.36379501795177 35.00255581258831, -78.36355760222243 35.002596120787295, -78.36328257125142 35.00264249819141, -78.36307191613442 35.00267710850067, -78.36279019886453 35.00272422207749, -78.3625017950163 35.002772416634095, -78.36232624119675 35.00280205809831, -78.36228473436232 35.00277178512242, -78.36214513353704 35.002794660325826, -78.3619838096201 35.00281965442633, -78.36182247579642 35.00284576342501, -78.36164192307962 35.00287417574177, -78.36146470351882 35.002903378023056, -78.3614157318228 35.002866881791945, -78.36130284378996 35.00278316333877, -78.36119577872272 35.0027023090514, -78.36117668982376 35.00268786768186, -78.36102812411032 35.00257605295213, -78.36088452745423 35.00246941557902, -78.36082476292005 35.00242513419788, -78.36074674293526 35.0023667592386, -78.36060728214514 35.002265124278125, -78.36052759349289 35.00220665468766, -78.36047663447229 35.00210420039175, -78.36037630173122 35.00191012003981, -78.36036479579234 35.00188687494456, -78.36028996593019 35.00174093054331, -78.36018881675302 35.00154461265871, -78.36016990451816 35.00150767491896, -78.36008109447921 35.001334865204626, -78.36000956157737 35.00119460498745, -78.35997501816922 35.00112821675082, -78.35992239425492 35.00102532425309, -78.35982619445404 35.00083684747969, -78.35978013295257 35.000748844796256, -78.35970446700733 35.00060332468709, -78.35962548003363 35.000455640406784, -78.35958187961273 35.00037323284732, -78.35954239809487 35.00029788791994, -78.35945686055814 35.00013393888623, -78.3593844821759 34.999995306415144, -78.35932196674005 34.99987647472573, -78.35924219687412 34.99972234654335, -78.35918707132599 34.9996191825837, -78.35917637794495 34.99959886076815, -78.35908757343412 34.99942587811209, -78.35899135520907 34.99924023397007, -78.35897325660694 34.999206133794566, -78.35887700790325 34.99902443890282, -78.35879148449204 34.99885902989699, -78.35877338470618 34.9988251018714, -78.35874540769126 34.99877325974709, -78.35854183570189 34.998863541789625, -78.3583701037209 34.99893905213492, -78.35817994801738 34.999021848478755, -78.35805345494865 34.999076990556645, -78.35799398301211 34.9991023481456, -78.35798014175633 34.99927014894432, -78.35796448373827 34.99945665809715, -78.35795907407568 34.99950763577149, -78.35794636444592 34.9996376594502, -78.35793312765803 34.99983474355602, -78.35792204028667 34.99997078712307, -78.35790171471841 35.00011382230125, -78.35787525993368 35.000293147538464, -78.35786379255734 35.000371313115835, -78.35785951188811 35.000384857135316, -78.35782001932333 35.0005234972882, -78.35778820866456 35.00064071069468, -78.35777017003812 35.000705187931274, -78.35770583709402 35.00092389672028, -78.35764153621723 35.00113848394566, -78.35760042528688 35.00127050373983, -78.35770713719924 35.001395581981306, -78.35784519645098 35.00156865562333, -78.35797994266447 35.00173844800958, -78.35798986127261 35.001751123716105, -78.35813865200335 35.00193996831427, -78.35830478538898 35.00215286255766, -78.35831635756092 35.002167606978595, -78.35849892739046 35.00241381977379, -78.3586459337928 35.00261742364792, -78.35870292314617 35.002696038833875, -78.35879130202325 35.00281724040664, -78.3589540227494 35.00303990416133, -78.35906967830162 35.003196113587656, -78.35910272466235 35.003240510835475, -78.35914982108265 35.003303102124235, -78.35920022837057 35.00336948920111, -78.35903472782503 35.00339437063886, -78.35877727707218 35.00343396170247, -78.35854742243097 35.00346760294618, -78.35845882260342 35.00348078428302, -78.35826908478676 35.003509057077835, -78.35802000486773 35.0035455997822, -78.35773163581547 35.00358863102678, -78.35770488861974 35.00359261032835, -78.35744660944377 35.0036310780806, -78.35739723311171 35.003646185812094, -78.35740337737424 35.00382027457957, -78.3574100417112 35.00403438136873, -78.35741595905914 35.004237320795966, -78.35741855731519 35.00443766693152, -78.357422780103 35.004537640559974, -78.35754719835946 35.004535125346024, -78.35783526571143 35.004530906463046, -78.35807492070454 35.00452531234465, -78.35824221911164 35.0045197376604, -78.35846260504078 35.00437295962635, -78.35892170820593 35.004499680174476, -78.35905279791226 35.0044961639268, -78.35930082585467 35.00448760622764, -78.35946876226133 35.00448308439018, -78.35962315800316 35.004478927678996, -78.3598678363529 35.00447163929072, -78.36013337732314 35.0044654049356, -78.36039059104834 35.00445655114192, -78.3606449766982 35.004448417443776, -78.36065781976318 35.00444800680306, -78.36079893131547 35.00433918520807, -78.36094339034709 35.00422943730143, -78.36108869348394 35.00411831979448, -78.36123987435678 35.004002854608046, -78.36137007303036 35.00390144536842, -78.36153950512531 35.00390766643688, -78.36170810601564 35.00391328066221, -78.36188253403824 35.00392107286524, -78.36212374508786 35.00392990487882, -78.3622241224245 35.00390527626227, -78.36241733319622 35.003859842775896, -78.36260636596533 35.00381498731232, -78.36275179836693 35.00390093727455, -78.36290220997948 35.00399077811856, -78.36303848695128 35.00407333028023, -78.36315950427446 35.004078434313065, -78.36337565750732 35.00408867763387, -78.36353756945186 35.00409562790156, -78.36361933622449 35.00420949238509, -78.36371842117046 35.004350753924236, -78.36379855311398 35.004460057944954, -78.36446844654108 35.00409727256599, -78.36452810541384 35.00406527406779, -78.36459838940962 35.00467964601418), (-78.36438282335693 35.002547834079444, -78.36439582779805 35.00259324124099, -78.36431304759121 35.00260980663105, -78.36423529168258 35.002624424138745, -78.36422642002084 35.00258436304597, -78.3642126677377 35.002527788549024, -78.36429125571175 35.00251351891533, -78.36437393158924 35.00251034850047, -78.36438282335693 35.002547834079444))",com,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3433,RESIDENTIAL,RANCH|UNFINISHED FRAME GARAGE|OPEN SHELTER|LEAN TO OR ATTACHED SHED|STORAGE,"POLYGON ((-78.34449921001912 35.013950959451485, -78.34446448366725 35.01370020554872, -78.34443297390222 35.01346483982405, -78.34394081263264 35.01350973650963, -78.34408653815669 35.01376684655011, -78.34425121594451 35.01405548869111, -78.34449921001912 35.013950959451485))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3437,RESIDENTIAL,CONVENTIONAL|STORAGE|STORAGE|OPEN SHELTER,"POLYGON ((-78.34468855253655 35.01387152920764, -78.34481890742123 35.01385927070671, -78.34476720577717 35.01343462651875, -78.34443297390222 35.01346483982405, -78.34446448366725 35.01370020554872, -78.34449921001912 35.013950959451485, -78.34468855253655 35.01387152920764))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3438,RESIDENTIAL,CONVENTIONAL|STORAGE|STORAGE|MISCELLANEOUS BUILDN,"POLYGON ((-78.34515481932048 35.013828120662616, -78.34510310906798 35.01340433481597, -78.34498195096256 35.01341518400466, -78.34476720577717 35.01343462651875, -78.34481890742123 35.01385927070671, -78.34511304128672 35.01383175778276, -78.34515481932048 35.013828120662616))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3439,RESIDENTIAL,UNFINISHED CARPORT,"POLYGON ((-78.34548319998164 35.013798989679906, -78.34543065585993 35.01337485598362, -78.34510310906798 35.01340433481597, -78.34515481932048 35.013828120662616, -78.34548319998164 35.013798989679906))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3440,RESIDENTIAL,RANCH|UNFINISHED FRAME GARAGE,"POLYGON ((-78.34614749390106 35.01373827589029, -78.34609658736956 35.013317757407485, -78.34576321025052 35.01334548905884, -78.34543065585993 35.01337485598362, -78.34548319998164 35.013798989679906, -78.34581325538204 35.01376909429208, -78.34594444212412 35.0137571825617, -78.34614749390106 35.01373827589029))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3442,RESIDENTIAL,CONVENTIONAL|STORAGE GARAGE,"POLYGON ((-78.34639482998524 35.01371540052968, -78.34639025667666 35.01345218762079, -78.34638818683548 35.01329349111173, -78.34609658736956 35.013317757407485, -78.34614749390106 35.01373827589029, -78.34639482998524 35.01371540052968))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3443,RESIDENTIAL,RANCH|STORAGE,"POLYGON ((-78.348401690973 35.01345482335812, -78.34842612854045 35.0131128536982, -78.3478817402679 35.01311120095943, -78.34746008660538 35.01311029523535, -78.34703842677553 35.013110160596995, -78.34645227468525 35.01311042188244, -78.3464571416712 35.013441300896154, -78.34699232857548 35.013445315477234, -78.34738307413224 35.01344820214746, -78.3478456085559 35.01345345079081, -78.348401690973 35.01345482335812))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
3444,RESIDENTIAL,RANCH|UNFINISHED FRAME GARAGE|STORAGE|FINISHED CARPORT,"POLYGON ((-78.34408001726406 35.01333119861814, -78.34402416651957 35.01290386935842, -78.34361809196936 35.01293858498596, -78.34385106754142 35.01335202182552, -78.34408001726406 35.01333119861814))",res,{'wasyname': 'City of Clinton'},9706002,37,163,970600,2,371639706002,1500000US371639706002,Block Group 2,G5030,S,13827470.0,0.0,+35.0136297,-078.3592320,20661391.457,22184.7433444
